2:00pm	7	26
2:07pm		58
2:14pm		128
2:21pm		51
2:28pm		122
2:35pm		62
2:42pm		60
2:49pm		47
2:56pm		72
3:03pm		1
3:10pm		39
3:17pm		28
3:22pm		30
2:00pm	3	95
2:07pm		56
2:14pm		92
2:21pm		79
2:28pm		120
2:35pm		81
2:42pm		69
2:49pm		53
2:56pm		117
3:03pm		96
3:10pm		44
3:17pm		49
3:22pm		123
2:00pm	5	68
2:07pm		20
2:14pm		46
2:21pm		45
2:28pm		101
2:35pm		32
2:42pm		18
2:49pm		4
2:56pm		75
3:03pm		77
3:10pm		7
3:17pm		85
3:22pm		8
2:00pm	11	82
2:07pm		35
2:14pm		19
2:21pm		34
2:28pm		43
2:35pm		73
2:42pm		41
2:49pm		52
2:56pm		114
3:03pm		94
3:10pm		10
3:17pm		11
3:22pm		83
2:00pm	4	126
2:07pm		31
2:14pm		127
2:21pm		64
2:28pm		57
2:35pm		110
2:42pm		97
2:49pm		27
2:56pm		105
3:03pm		118
3:10pm		63
3:17pm		3
3:22pm		
